,Dollar,Ibovespa,Selic
2007-06-08,1.9631999731063843,52330.0,12.0
2007-06-11,1.9394999742507935,52777.0,12.0
2007-06-12,1.9362000226974487,51797.0,12.0
2007-06-13,1.9448000192642212,52994.0,12.0
2007-06-14,1.9276000261306763,53713.0,12.0
2007-06-15,1.906999945640564,54519.0,12.0
2007-06-18,1.8997999429702759,54730.0,12.0
2007-06-19,1.8982000350952148,54644.0,12.0
2007-06-20,1.9140000343322754,54029.0,12.0
2007-06-21,1.9170000553131104,54657.0,12.0
2007-06-22,1.9199999570846558,54267.0,12.0
2007-06-25,1.9333000183105469,54042.0,12.0
2007-06-26,1.940500020980835,53852.0,12.0
2007-06-27,1.9474999904632568,54143.0,12.0
2007-06-28,1.9208999872207642,54147.0,12.0
2007-06-29,1.9276000261306763,54392.0,12.0
2007-07-02,1.912500023841858,55371.0,12.0
2007-07-03,1.910099983215332,55700.0,12.0
2007-07-04,1.9041999578475952,55696.0,12.0
2007-07-05,1.9103000164031982,55932.0,12.0
2007-07-06,1.8977999687194824,56444.0,12.0
2007-07-09,1.8949999809265137,,12.0
2007-07-10,1.8878999948501587,55883.0,12.0
2007-07-11,1.8860000371932983,56356.0,12.0
2007-07-12,1.8730000257492065,57613.0,12.0
2007-07-13,1.868899941444397,57644.0,12.0
2007-07-16,1.8659000396728516,57374.0,12.0
2007-07-17,1.8609000444412231,57660.0,12.0
2007-07-18,1.854200005531311,57556.0,12.0
2007-07-19,1.8509999513626099,58125.0,11.5
2007-07-20,1.8588000535964966,57443.0,11.5
2007-07-23,1.8385000228881836,58037.0,11.5
2007-07-24,1.845900058746338,55795.0,11.5
2007-07-25,1.8658000230789185,56001.0,11.5
2007-07-26,1.892799973487854,53893.0,11.5
2007-07-27,1.9134999513626099,52922.0,11.5
2007-07-30,1.8835999965667725,54573.0,11.5
2007-07-31,1.8654999732971191,54183.0,11.5
2007-08-01,1.8779000043869019,54234.0,11.5
2007-08-02,1.8659000396728516,54691.0,11.5
2007-08-03,1.875,52846.0,11.5
2007-08-06,1.895900011062622,53091.0,11.5
2007-08-07,1.9033000469207764,53802.0,11.5
2007-08-08,1.8823000192642212,55241.0,11.5
2007-08-09,1.9113999605178833,53431.0,11.5
2007-08-10,1.937999963760376,52638.0,11.5
2007-08-13,1.9347000122070312,52434.0,11.5
2007-08-14,1.9723999500274658,50912.0,11.5
2007-08-15,1.992900013923645,49285.0,11.5
2007-08-16,2.1024999618530273,48016.0,11.5
2007-08-17,2.0285000801086426,48559.0,11.5
2007-08-20,2.0329999923706055,49206.0,11.5
2007-08-21,2.0253000259399414,49815.0,11.5
2007-08-22,2.0100998878479004,51745.0,11.5
2007-08-23,1.996000051498413,51848.0,11.5
